Word,Translations
si,"if, when, whether"
matemáticas,"math"
reprobar,"fail, failed"
curso,"course, class, grade"
ortografía,"spelling"
principiante,"beginner"
vocabulario,"vocabulary"
deletrear,"spelling, (to) spell"
segundos,"seconds, second-in-command, deputies"
basurero,"dustbin, wastebasket, trash can"
mal,"bad, wrong, badly"
medias,"stockings, socks, tights"
suficiente,"enough"
básico,"basic, simple"
incluso,"even, including"
borrador,"eraser"
se apura,"(she) hurries"
guante,"glove"
tijeras,"scissors"
corta,"short"
sumar,"(to) add, add"
imprimir,"(to) print"
cuadrado,"square"
menos,"less, minus, fewer"
apurarse,"hurry, (to) hurry"
espacio,"space, room, (I) space … out"
estantería,"bookcase, bookshelf, shelf"
