Word,Translations
me cae bien,I like (him/her/it)
felicitaciones,congratulations
asar,(to) roast
se aman,they love each other
musical,"musical, music"
nos besamos,we kissed
instrumento,"instrument, musical instrument, (I) implement"
nos ayudamos,we help us
me cae mal,I don't like him
desde,"from, since, as"
picar,"(to) bite, snack, (to) snack"
rebanada,slice
rico,"rich, delicious, tasty"
nos conocemos,"(we) know each other, (we)have known each other"
el uno al otro,each other
pertenezco,belong
pertenecer,"(to) belong, belong, belonging"
soul,"soul, souls, core"
escenario,stage
enviar,"(to) send, getting, send"
nos escribimos,we write
esquiar,"to ski, skiing"
mejor,"better, best, instead"
ajo,garlic
en línea,online
parlante,speakers
nos abrazamos,We hug
nos odiamos,we hate each other
