Word,Translations
feo,"ugly, bad"
bilingüe,bilingual
final,"final, finals, ultimate"
cierto,"true, (?) shouldn't they, (?) shouldn't we"
personal,"personal, staff"
necesario,"necessary, needed"
positivo,"positive, optimistic"
pública,public
principal,"main, capital, principal"
único,"only, only one, unique"
local,"local, business, home"
profesionales,"professional, professionals"
imposible,impossible
distintos,"different, distinct, several"
familiar,"familiar, family, colloquial"
capaz,"capable, able, able to"
plano,"flat, level"
justo,"fair, right, just"
histórico,"historical, historic"
naturales,"natural, innate, natives"
tradicional,traditional
rico,"rich, delicious, tasty"
reciente,"recent, hottest"
