explicáis,you explain
suma,"sum, (he/she/it) adds, (he/she/it) adds up"
historias,stories
educación,"education, learning, manners"
colegio,school
grados,"degrees, forms, grades"
material,"material, actual, feed"
capítulo,"chapter, episode, area"
ausencia,"absence, lack"
lectura,"reading, interpretation, lecture"
inteligencia,"intelligence, intelligentsia, understanding"
sección,"section, department"
conocimiento,"knowledge, consciousness"
discusión,"discussion, argument"
academia,"academy, school"
facultad,"faculty, authority, college"
explicación,explanation
tema,"subject, issue, theme"
solución,"solution, answer"
