Word,Translations
toqué,"(I) touched, (I) played, play"
oí,"(I) heard, (I) listened, hear"
siquiera,"at least, even"
dejaron,"(they) left, (they) stopped"
fui,"(I) went, (I) was, (I) left"
quedó,"(she) kept, stay"
pasó,"happened, (?) did it happen, (he) had"
volvió,"(he/she/it/you) returned, (he/she/it/you) went back, (he/she/it/you) came back"
pidió,"(he/she/it/you) asked for, (he/she/it/you) asked, (he/she/it/you) begged"
mostró,"(he) showed, (she) showed"
logró,"(he/she/it/you) was/were able to, (he/she/it/you) achieved, (he/she/it/you) attained"
siguió,"(he/she/it/you) continued, (he/she/it/you) followed, (he/she/it/you) took"
presentó,"introduced, (he/she/it/you) introduced, (he/she/it/you) introduced oneself"
perdió,"(?) did he lose, (?) did she lose, (?) did she miss"
sintió,"(he) felt, (she) felt"
recordó,"(he) remembered, (she) remembered"
iniciaron,"start"
cayó,"(he) fell"
apareció,"(he/she/it/you) appeared, (he/she/it/you) produced, (he/she/it/you) seemed"
consiguió,"(he) got, (she) got"
permitió,"(he/she/it/you) allowed, (he/she/it/you) permitted, allowed"
contó,"(he/she/it/you) counted, (he/she/it/you) told, (he/she/it/you) counted on"
obtuvo,"(?) did they get, (he) got, (he) won"
contestó,"(he) answered"
alcanzó,"(he/she/it/you) reached, (he/she/it/you) caught, (he/she/it/you) achieved"
sacó,"(he/she/it/you) took out, (he/she/it/you) took, (he/she/it/you) took off"
negó,"(he/she/it/you) denied, (he/she/it/you) denied oneself, (he/she/it/you) refused"
consideró,"(he/she/it/you) considered, (he/she/it/you) considered oneself, (he/she/it/you) gave … consideration"
intentó,"(he/she/it/you) tried to, attempted, tried"
insistió,"(he/she/it/you) insisted"
ofreció,"(?) did he offer, (he) offered, (she) offered"
