Word,Translations
comunidad,"community"
región,"region, area, district"
plaza,"square, plaza, park"
zona,"zone, area, place"
puerto,"port, harbor, gate"
costa,"coast, bank, costs"
institución,"institution, establishment"
instituto,"institute, college, high school"
nación,"nation, country, land"
terrenos,"terrestrial, lands, soils"
palacio,"palace"
territorio,"territory, country, region"
barrio,"neighborhood"
cárcel,"prison, jail, can"
hacienda,"ranch, estate, (he/she/it) grants … land(s)"
patria,"homeland, home country, mother country"
festival,"festival"
torre,"tower, tower block, (I/he/she/it/you) roast"
hogar,"home, hearth"
frontera,"border, frontier"
pista,"clue, course, court"
continente,"continent"
galería,"gallery, balcony, cornice"
colonia,"colony, cologne, community"
oestes,"west"
agencia,"agency, (you-formal) pinch, (you-formal) swipe"
distancia,"distance, away"
capital,"capital, capital city"
