Word,Translations
estudiáis,"(?) do you study, (you) study"
muestra,"(he/she/it) shows, sample, show"
sigue,"(you) continue, (you) follow, (you) go"
venir,"come, (to) come, coming"
jugáis,"(?) do you play"
probáis,"(you) try, (?) are you trying"
peso,"weight, by weight, (I) weigh"
encuentra,"(he) finds"
comienza,"(?) does it start, (she) begins, (she) starts"
estáis,"(?) are you, (you) are"
soñáis,"(you) dream"
aparece,"appear!, (you-formal) appear, (he/she/it) appears"
presenta,"(he/she/it) presents, introduce, present"
cerráis,"(you) close"
acepta,"(you-formal) accept, (he/she/it) accepts, take"
da,"(he) gives, (she) is giving"
respeta,"(he/she/it) respects, (he/she/it) respects oneself, (he/she/it) observes"
cabe,"be, fit, go"
acaba,"ends, just, (he/she/it) ends"
cuenta,"check, bill, account"
parecemos,"looking, look"
servís,"(you) serve, (?) do you serve"
siente,"feels"
firma,"(he/she/it) signs, signature, firm"
incluye,"(he/she/it) includes, include!, (you-formal) include"
entrega,"delivery, (he/she/it) delivers, (he/she/it) gives"
culpa,"fault, blame!, (you-formal) blame"
entráis,"start, (you) go into, (you) start"
importan,"(they/you-plural) import, (they/you-plural) matter, (they/you-plural) amount to"
depende,"(he/she/it) depends, (you-formal) depend, depend!"
abrís,"(you) open"
requiere,"(he/she/it) requires, (he/she/it) summons, require!"
empieza,"starts, (?) does it start, (it) begins"
decís,"(you) are telling, (you) tell, (you) say"
