Word,Translations
fresa,strawberry
emparedados,sandwiches
gata,cat
cómo,"how, what, how's"
tortuga,"turtle, tortoise"
arañas,"spiders, (you) scrape, (you) scratch"
cangrejos,crabs
tu,your
pingüino,penguin
toro,"bull, torus"
gafas,glasses
rosas,"rose, pink, roses"
púrpura,purple
café,"cafeteria, cafe, café"
corto,short
tamaño,size
enorme,"huge, enormous"
bajo,"under, low, short"
duerme,"(he) is sleeping, (he) sleeps, (she) sleeps"
hongos,mushrooms
maíz,corn
lechuga,"lettuce, head of lettuce"
banano,banana
piña,"pineapple, rose"
uvas,grapes
como,"(I) eat, as, (I) am eating"
atún,tuna
pavo,turkey
aunque,"though, even if, while"
ajo,garlic
tío,uncle
acerca,about
contra,against
hacia,"to, towards, a"
cerca,"near, close, nearby"
según,"according to, it depends, as"
