Word,Translations
oferta,"offer, sale"
contrato,"(I) contract, (I) enter into a contract, (I) put … out to contract"
cifras,"figures, numbers, (you) encode"
interés,"interest, interests"
tasa,"tax, assess the value of!, (he/she/it) assesses the value of"
comercio,"trade, business, (I) trade"
valor,"value, any value, cheek"
industria,"industry, diligence, ingenuity"
ejecutivo,executive
deuda,debt
venta,"sale, hostelry, inn"
crédito,credit
porcentaje,percentage
cuentas,"(you) count on, accounts, bills"
ingresos,"income, admission, admissions"
fortuna,fortune
promoción,"promotion, play-off"
costos,"hashes, costs"
productos,"products, results"
junta,"meeting, board, committee"
propiedad,"property, estate"
oros,"bands, earrings"
conferencia,"conference, lecture, (he/she/it) holds talks"
economía,"economy, economics, finances"
económico,"cheaper, economic, inexpensive"
inversión,"investment, inversion, reversal"
negociación,"negotiation, deal"
inflación,inflation
