Word,Translations
alegría,"joy, happiness, cheers"
amor,"love, darling, dear"
felicidad,"happiness, Happy Birthday!, Happy New Year!"
sonrisa,smile
amistad,"friendship, friends"
tensión,"tension, blood pressure, strain"
miedos,"fear, afraid, scared"
dolores,"pains, hurts, pain"
esperanza,hope
personalidad,personality
temor,fear
soledad,"loneliness, solitude"
humor,"mood, humor"
placer,"pleasure, it's, kick"
satisfacción,"satisfaction, fulfillment, payment"
celebración,"celebration, celebrations"
curiosidad,"curiosity, neatness"
deseo,"wish, (I) wish, (I) want"
sentimiento,"feeling, feelings"
