Word,Translations
estaréis,"(you) were, were"
comeréis,"shops, trades, stores"
beberéis,"would"
tendremos,"have, (we) will have"
veré,"(I) will see, (I) will be seeing, I'll see"
haré,"(I) will do, (I) will make, (I) will be doing"
llamaré,"(I) will call, (I) will give you a call, I'll call"
llegará,"will be arriving"
quedaremos,"(we) will stay, (we) will be, (we) will keep"
iniciar,"start, (to) initiate, (to) begin"
permitir,"allow, (to) allow, (to) permit"
definir,"(to) define, (to) make … sharp"
colocar,"place, (to) place, (to) put"
andar,"going, (to) walk, ride"
cubrir,"(to) cover, (to) take cover, (to) cover oneself"
añadir,"add, (to) add, write"
asumir,"(to) assume, (to) adopt, take"
sufrir,"(to) suffer, (to) undergo, (to) bear"
impedir,"(to) prevent, (to) hamper, (to) hinder"
eliminar,"(to) eliminate, (to) remove, (to) delete"
preparar,"(to) prepare, (to) make, (to) coach"
romper,"(to) break"
beber,"drink, (to) drink, drinking"
dormir,"(to) sleep, sleeping"
tener,"have, (to) have, get"
ver,"(to) see, (to) look, (to) watch"
caminar,"(to) walk, walking, (to) go for a walk"
leer,"(to) read, reading"
escribir,"write, (to) write, writing"
ir,"(to) go, (to) go out, going"
nadar,"swim, (to) swim, swimming"
llover,"(to) rain, raining"
dar,"give, (to) give, (to) have"
partir,"leave, (to) leave, leaving"
llegar,"(to) arrive, (to) be, (to) get"
pesar,"Despite, (to) weigh, (to) weigh out"
saber,"know, (to) know, hear"
pasar,"(to) pass, (to) spend, happen"
seguir,"(to) follow, (to) continue, (to) go on"
dejar,"let, (to) leave, (to) allow"
