Word,Translations
había,"had, there was, it was"
perdido,"lost, missing"
comido,"eaten, had"
ido,"gone, been to, been"
venido,"come, arrived"
llegado,"arrived, come, gotten"
conseguido,"obtained, achieved, got"
tratado,"tried, treated, treated oneself"
encontrado,found
llamado,"called, call, got"
descubierto,"discovered, found, found out"
formado,"formed, made, made up"
establecido,"established, laid down, set up"
dirigido,"directed, managed, headed"
muerto,"died, dead, finished"
conocido,"met, well-known, acquaintance"
decidido,decided
dado,"given, given on to, die"
producido,"produced, caused, generated"
tomado,"taken, had, drunk"
oído,"heard, ear"
partido,"game, match, departed"
ganado,won
demostrado,"demonstrated, proved/proven, showed/shown"
hablado,"spoken, talked, talked about"
sentido,"felt, sense, direction"
abierto,"open, made, opened"
supuesto,"supposed, assumed"
quedado,stayed
escrito,written
cerrado,closed
sufrido,"suffered, born, borne"
