Word,Translations
sea,sea
comas,"eat, (you) eat, comas"
bebas,"drink, (you) drink, babies"
pagues,"(you) pay, (you) pay for, (you) pay off"
escribas,"write, (you) write, scribe"
tenga,"(he) has, have"
vayáis,"(you-plural) escape, (you-plural) slip away, (you-plural) go"
haga,"(he) makes, (you) ask, (you) do"
firme,"sign!, sign on!, (I/he/she/it/you) sign"
viva,"live, alive, live!"
cierren,"close, close!, close up!"
pase,"pass (on)!, happen!, go through!"
quiera,"wants, (I/he/she/it/you) want"
digas,"(you) say, (you) tell"
llama,"(he) calls, (you) call"
girar,"turn, turned, (to) turn"
comamos,"let's eat, (we) eat"
venir,"come, (to) come, coming"
miren,"look!, look at!, look after!"
llévate,"Take, take!, go!"
