tostadas,"toast, pieces of toast"
tostada,toast
mermelada,"jam, jelly"
pasta,pasta
me duché,took a shower
nos duchamos,"(we) are showering, we shower"
se ducharon,they showered
te duchaste,you took a shower
se duchó,"(he) took a shower, (she) took a shower"
nos lavamos,we wash
te lavaste,you washed
se lavó,He washed
me lavé,I washed
se lavaron,They were washed
almorcé,"(I) ate lunch, (I) had lunch"
se despertaron,they woke up
nos despertamos,"(?) are we waking up, (we) wake up"
se despertó,"(he/she/it/you)  whetted/whet, (he/she/it/you)  aroused, (he/she/it/you)  waked/woke (up)"
te despertaste,"(you)  waked/woke (up), (you)  aroused, (you)  whetted/whet"
me desperté,"(I)  waked/woke (up), (I)  aroused, (I)  whetted/whet"
vestirse,"dressed, dress, to get dressed"
se reunieron,(they) met
me reuní,I met
se reunió,met
te reuniste,you met
nos reunimos,"(we) meet, (we) met"
se probó,it was tested
me probé,I tried on
te probaste,(?) did you try on
nos probamos,we tested
se probaron,they were tested
perfecto,perfect
perfecta,perfect
perfectos,"perfect, fine!, perfects"
calcetines,socks
calcetín,sock
suaves,soft
suave,"soft, delicate, gentle"
nos preocupamos,"(we) are worried, (we) worry"
se preocuparon,(they) worried
me preocupé,i worried
se preocupó,he worried
peine,comb
uniforme,"uniform, even"
uniformes,"(you) unify, uniforms, standards"
suéter,sweater
corbata,tie
corbatas,ties
traje,"suit, (I) brought"
bufanda,scarf
bufandas,scarves
se acostaron,they lay down
te acostaste,you lay down
se acostó,(?) did he go to bed
nos acostamos,we lay down
me acosté,I went to bed
se quedaron,"(they) stayed, (they) kept, (?) did they stay"
nos quedamos,"(we)  stay, (we) are staying, (we) stayed"
me quedé,(I)  stayed
te quedaste,"(you)  stayed, (?) did you stay"
se quedó,"(?) did she stay, (he) stayed, (she) stayed"
dormiste,"(?) did you sleep, (you) slept"
durmió,"(he) slept, sleep"
diario,"newspaper, daily, diary"
diarios,newspapers
diaria,"daily, day-to-day, everyday"
diarias,"day-to-day, dailies, daily"
durmieron,"sleep, (they) slept"
champú,shampoo
maquillaje,makeup
