bádminton,badminton
me,"with me, at me, me"
rompecabezas,"puzzle, puzzles"
postales,postcards
postal,postcard
maravillosa,"wonderful, marvelous"
maravilloso,"wonderful, marvelous"
maravillosas,wonderful
tantas,"so many, as many as"
tantos,"so many, as many as"
a lo largo del,"along, throughout the, along the"
a lo largo de,"during, along, throughout"
esquiar,"to ski, skiing"
te,"you, yourself"
raqueta,"racket, rake, snowshoe"
coleccionar,"collect, (to) collect"
cometa,kite
cometas,"(you) make, kites"
acampar,"acampar, camping"
carta,letter
cartas,"letters, cards"
colecciono,collect
coleccionaba,"(she) used to collect, (he) used to collect"
colecciona,(she) collects
coleccionabas,(?)did you use to collect
coleccionan,(they) collect
navegar,"surf, sail, sailing"
nos,"we, us, each other"
hockey,hockey
prestar,"borrow, (to) borrow, (to) lend"
velero,"sailboat, sail"
estampillas,"stamps, (you) put stamps on, (you) rubber-stamp"
estampilla,"stamp!, (he/she/it) stamps, postage stamp"
navega,"(he) is sailing, (he/she/it) navigates, sail!"
navegamos,"(we) sailed, (we) sail"
navegas,"(you) sail, sail, (you) navigate"
navego,"(I) sail, (I) navigate"
navegaba,"(she) was sailing, (I) used to sail"
presto,"pay, I'll lend, give"
prestan,"(they/you-plural) render, (they/you-plural) borrow, (they/you-plural) swear"
prestaste,"pay, lend, (?) did you lend"
prestaron,"pay, give, lend"
prestando,"(they/you-plural) render, (they/you-plural) borrow, (they/you-plural) swear"
presté,"pay, (I) lent"
presta,"(he/she/it) swears, (he/she/it) borrows, (he/she/it) gives"
prestas,"pay, (?) can you lend, give"
dibujo,"drawing, (I) draw"
dibujos,"pictures, drawings, grains"
pop,pop
gorras,"hats, caps"
gorra,"cap, hat"
navegué,(I) sailed
acampaba,"used to camp, they used to"
acampamos,"(we) camped, (we) camp"
acampas,(?) do you camp
acampando,camping
