interesaba,"(she) was interested, interested"
amaba,(he) loved
amabas,"(you) used to love, (you) loved, (you) were loving"
amaban,loved
naturaleza,nature
queríamos,(we) wanted
querían,"(they) wanted, want"
quería,"(he) wanted, (she) wanted"
querías,"(you) used to want, (you) were wanting, (you) wanted"
creo,"(I) think, (I) believe, (?) do I create"
crees,"(you) think, (you) believe, (?) do you think"
creer,"believe, (to) believe, (to) think"
cree,"(?) does he think, (he) believes, (he) thinks"
creemos,"believe, (we) believe, (we) think"
creen,"(?) do they believe, (they) think"
se llamaba,"(I/he/she/it/you)  was/were calling, named, (I/he/she/it/you)  used to call"
se llamaban,"named, (they) were named"
serpientes,snakes
serpiente,"snake, serpent"
preferías,"(?) did you prefer, preferred"
prefería,(he) preferred
preferían,(they) preferred
creía,"believe, (she) thought, (they) believed"
creíamos,"(we) thought one is special (/ great etc), (we) were believing, (we) were thinking one is special (/ great etc)"
creías,"thought, believe"
creían,"(they/you-plural) used to believe, (they/you-plural) believed, (they/you-plural) thought"
corazón,heart
conocían,"met, knew"
conocía,"(I/he/she/it/you) knew, (I/he/she/it/you) used to know, (I/he/she/it/you) knew oneself"
conocíamos,"(we) knew oneself, (we) were recognizing, (we) were trying"
leones,lions
león,lion
desierto,"desert, deserted"
visitantes,"visitors, visiting"
odiaba,"hated, (she) hated, (I) hated"
odiabas,"(you) used to hate, (you) hated, (you) were hating"
odiaban,(they) hated
necesitaban,(they) needed
necesitaba,"needed, (I) needed, (he) needed"
collar,"necklace, collar"
collares,necklaces
oro,"gold, golden"
propios,"own, of your own, messengers"
propias,"own, owns"
propia,own
propio,"own, messenger"
vista,"sight, view"
miel,honey
estar de acuerdo,"agreed, agree"
pato,duck
patos,ducks
encantaba,(he) loved
encantaban,"(I) used to love, (he) loved"
simple,"simple, simple-minded, simpleton"
magia,magic
puente,bridge
silvestres,wild
