abogada,a lawyer
abogadas,lawyers
abogado,attorney
abogados,lawyers
asistente,attendee
beneficio,benefit
beneficios,Benefits
búsqueda,search
búsquedas,searches
calculadora,calculator
calculadoras,calculators
contabilidad,accounting
copia,copy
copias,do you copy
dedicado,dedicated
dedicarse,dedicate
desorganizada,disorganized
desorganizadas,disorganized
desorganizados,disorganized
empleada,employee
empleadas,employees
empleado,employee
empleados,staff
exporta,export
firma,signature
ley,law
leyes,laws
me dedico,I dedicate myself
nos dedicamos,Our services are
producción,production
producto,product
productos,products
profesional,professional
profesionales,professionals
profesiones,Professions
profesión,profession
quien,who
rol,role
roles,roles
se dedica,is dedicated
tercios,thirds
valor,worth
valores,values
