a,a
aeropuerto,airport
aeropuertos,airports
al,to the
al lado,beside
autobuses,buses
autobús,bus
banco,bank
bancos,banks
calle,street
calles,streets
cerca,near
cerca de,nearly
del,of
derecha,right
el café,the coffee
estaciones,seasons
estación,station
estamos,we&#39;re
están,is it so
hospital,hospital
hospitales,hospitals
hotel,hotel
hoteles,Hotels
ir,to go
izquierda,left
lejos,far
metro,meter
metros,meters
parque,park
parques,parks
puerta,gate
puertas,doors
supermercados,supermarkets
tomar,drink
tren,train
trenes,trains
viajar,travel
