abrir,open
aburridas,boring
aburridos,bored
arroz,rice
buena,good
buenas,good
bueno,well
buenos,good ones
caminar,walk
casas,houses
comemos,we eat
comen,eat
comida,meal
correos electrónicos,emails
divertidas,funny
divertidos,funny
escriben,they write
escribimos,we wrote
juntos,together
leemos,read
leen,they read
mucha,a lot
mucho,a lot of
periódico,Newspaper
periódicos,newspapers
playa,beach
playas,Beaches
pollo,chicken
pollos,chickens
queremos,we want
quieren,want
restaurantes,restaurants
sándwiches,sandwiches
tarde,afternoon
tardes,afternoon
verano,summer
veranos,summers
viven,they live
vivimos,we live
