abren,open
abrimos,we open
aprendemos,we learn
aprenden,they learn
beben,they drink
comer una,eat one
compramos,we bought
compran,they buy
ella come,she eats
ellas escriben,They write
ellos hablan,they speak
ellos leen,they read
hablar español,speak Spanish
leer este,read this
necesita escribir,need to write
necesitamos abrir,we need to open
necesito comprar,I need to buy
nosotras vivimos,we live
nosotros comemos,we eat
nosotros leemos,we read
quiere aprender,He wants to learn
quiero beber,I want to drink
salen,come out
salimos,we went out
salir,go out
toma,taking
tomamos,we take
tomar el,take the
trabajamos,we work
trabajan,they work
trabajar en,work in
tú bebes,you drink
tú escribes,you write
tú hablas,you speak
usted vive,you live
vivir en,live in
