algo,something
azúcar,sugar
bicicleta,bike
bicicletas,bikes
chica,girl
chicas,girls
chico,guy
chicos,Boys
chocolate,Chocolat
chocolates,chocolates
correr,rush
creo que,I think
dibujar,to draw
elegante,Elegant
elegantes,elegant
esa,that
ese,that
falda,skirt
faldas,skirts
favorito,favorite
favoritos,favorites
jugar,play
me encanta,I'm lovin 'it
me
                    gusta,I like
música,music
nadar,to swim
pastel,pie
pero,but
perros,dogs
piscina,pool
piscinas,swimming pools
porque,because
queso,cheese
quesos,cheeses
ropa,clothes
sombrero,hat
sombreros,hats
te encanta,You love it
te gusta,you like
vieja,old woman
viejas,old
viejo,old
viejos,old
