blanca,white
blancas,white
blanco,white
blancos,white
botella,bottle
botellas,bottles
camareras,waitresses
camarero,waiter
camareros,Waiters
cerveza,beer
cervezas,beers
cuchara,spoon
cucharas,spoons
cuchillo,knife
cuchillos,knives
cuenta,bill
frijol,beans
frita,fried
menú,menu
menús,menus
mesa,desk
mesas,tables
otra,other
otro,other
paga,pay
pagan,they pay
pagar,to pay
pagas,you pay
pago,I pay
pescado,fish
pescados,fish
plato,plate
platos,plates
postre,dessert
postres,desserts
puede traer,you can bring
quisiera,I&#39;d like
sal,Salt
sin,without
sopa,Soup
sopas,soups
un plato,a dish
vaso,glass
vasos,glasses
