cursos,courses
me,I
me ama,Loves Me
me ayudas,you help me
me
                    compra,you buy me
me conoce,knows me
me enseña,teaches me
me escucha,do you listen me
me llaman,they call me
me necesita,she needs me
muñeca,wrist
muñecas,dolls
nos,us
nos ayudan,they help us
nos compra,buy us
nos
                    conocen,they know us
nos escuchan,they listen to us
nos llamas,you call us
nos visita,visits us
te,tea
te amo,love you
te ayudo,do I help you
te compra,buys you
te conozco,I know you
te llamamos,we call you
te necesito,I need you
te visitan,they visit you
