almuerzo,lunch
antes,before
cada,each
cena,Dinner
cosa,stuff
cosas,things
demasiado,too
desayuno,breakfast
después,after
diario,diary
diarios,diaries
difícil,hard
difíciles,difficult
fáciles,easy
hace,make
hacemos,we make
hacen,make
hacer,to do
haces,you do
hago,do
levantarse,get up
me pongo,I wear
ponerse,to put on
sale,comes out
sales,you go out
salgo,I go out
se pone,it gets
semanas,weeks
solo,only
tarde,afternoon
tarea,task
tareas,chores
te pones,you put
temprano,early
toman,they take
tomo,I take
