ambas,both
ambos,both of them
bailes,dances
bananas,bananas
bota,boot
botas,boots
calientes,hot
chilena,Chilean
chileno,Chilean
chilenos,Chileans
color,color
colores,colors
cubanas,Cuban
cubano,Cuban
cubanos,cubans
dulce,sweet
dulces,sweets
encantan,they love
ensaladas,salads
flor,flower
flores,flowers
francesa,French
franceses,French
gustan,like
interesan,interest
italianas,Italian
italiano,Italian
juego,play
juegos,games
latina,latin
latinas,latinas
latinos,latinos
lentes,lenses
naranja,orange
naranjas,oranges
ojo,eye
ojos,eyes
par,pair
pares,peers
pájaro,bird
pájaros,birds
rápida,quick
rápidas,fast
rápido,Quick
rápidos,rapid
sitio,place
sitios,sites
vaqueros,Cowboys
vinos,wines
