bolsa,bag
bolsas,bags
centavos,cents
chorizo,chorizo
chorizos,sausages
cincuenta,fifty
compra,purchase
cuarenta,Fourty
cuánta,how much
fruta,fruit
frutas,fruit
huevo,egg
kilo,kilo
lavamos,we wash
lavan,wash
lavar,wash
lavas,you wash
lleva,carries
llevamos,we carry
llevan,They carry
llevar,wear
llevas,you carry
llevo,he took
mantequilla,Butter
naranja,orange
papa,dad
picante,spicy
picantes,spicy
plátano,banana
plátanos,bananas
pone,places
ponemos,we put
ponen,put
poner,place
pones,you put
pongo,put
refrigerador,refrigerator
refrigeradores,refrigerators
sesenta,sixty
tenemos que,we have to
tienen que,they have to
tomate,tomatoes
vegetal,vegetable
vegetales,vegetables
