abriendo,opening
aprendiendo,learning
aula,classroom
bebiendo,drinking
comiendo,eating
dibujando,drawing
escribiendo,writing
escuchando,listening
escuelas,schools
estudiando,studying
hablando,speaking
hablar con,talk to
haciendo,making
lección,lesson
leyendo,reading
nota,note
notas,notes
pizarra,board
pizarras,blackboards
que escribir,what to write
que estudiar,what to study
que hacer,to do
que leer,what to read
queremos abrir,we want to open
quiere dibujar,wants to draw
quieren beber,they want to drink
quiero
                    aprender,I want to learn
saliendo,coming out
