aprendiste,you learned
aprendí,I learned
ayer,Yesterday
bebiste,you drank
bebí,drank
comiste,You ate
comí,I ate
conociste,you met
conocí,I met
estudiaste,have you studied
estudié,studied
estuve,I was
estuviste,you were
fui,I was
fuiste,you were
hablaste,you spoke
hablé,I talked
hace mucho tiempo,long ago
pasada,pass
pasadas,past
pasado,last
pasados,past
probaste,did you try
probé,i tried
viajaste,you traveled
viaje,travel
viajes,travels
viajé,travel
visitaste,did you visit
visité,Visited
viviste,you lived
viví,i lived
