algo de,some
alguien,someone
caminaron,they walked
compraron,bought
compraste,you bought
cuatrocientos,four hundred
disfrutando,enjoying
encontramos,we find
encontraron,They found
entonces,then
espere,Wait
fumar,to smoke
hay alguna,There are some
hay algún,is there any
nacionalidad,nationality
nos vemos,See ya
posible,possible
querría,I would want
quinientos,five hundred
ruido,noise
seiscientos,six hundred
siguiente,Next
siguientes,following
trescientos,three hundred
vine,came
vinieron,they came
vinimos,we came
viniste,did you come
vino,wine
