canté,sing
cantó,singing
cogieron,They took
cogiste,you took
cogió,caught
cogí,I took
comprende,understands
comprenden,understand
comprender,grasp
comprendes,do you understand
comprendo,understand
dibujamos,we draw
dibujaron,they drew
dibujé,I drew
dibujó,He drew
ejemplo,example
ejemplos,examples
empecé,I started
empezaron,they started
empezaste,you started
empezó,it started
encuentran,find
enseñamos,we teach
enseñando,teaching
enseñar,to teach
enseñaron,they taught
enseñaste,you taught
enseñé,I taught
estudiaron,they studied
estudió,study
habló,I speak
me preocupo,I am worried
me siento,I feel
necesitar,need
nos sentamos,we sit
olvidamos,we forgot
olvidaron,they forgot
olvidaste,you forgot
parar,stall
preocupar+prpers,worry+prospers
preocuparme,worry
preocuparnos,worry
preocuparse,to worry
preocuparte,worry
responde,answer back
respondemos,we answer
responden,they answer
responder,reply
respondes,you answer
respondieron,they responded
respondimos,we responded
respondiste,you answered
respondió,answered
respondo,I answer
se preocupan,they worry
se sientan,they sit
sentarnos,sit down
te preocupas,you worry
te sientas,you sit
tomaron,they took
tomaste,do you drink tea
tomé,take
tomó,I take
vi,saw
vieron,saw
vio,he saw
viste,dresses
