a lo mejor,maybe
aburrido,bored
aburridísima,boring
aburridísimas,very boring
aburridísimo,boring
aburridísimos,very boring
bellísima,Beautifull
bellísimas,beautiful
bellísimo,beautiful
bellísimos,beautiful
bueno,well
buenísimas,very good
buenísimos,very good
carísima,very expensive
carísimas,very expensive
carísimo,very expensive
carísimos,very expensive
ciclismo,cycling
correr,rush
corrieron,they ran
corriste,you ran
corrí,i ran
cómics,comics
desafortunadamente,unfortunately
descansos,breaks
divertido,funny
divertidísima,hilarious
divertidísimas,hilarious
divertidísimo,hilarious
divertidísimos,hilarious
espectáculo,show
espectáculos,shows
excursiones,excursions
excursión,excursion
grande,great
grandísima,great
grandísimas,very big
grandísimos,great
hermosísima,most beautiful
hermosísimas,very beautiful
hermosísimo,very beautiful
hermosísimos,very beautiful
hip-hop,hip hop
hobbies,hobbies
hobby,hobby
invita,invites
invite,invite
jazz,jazz
lagos,lakes
malo,evil
malísima,lousy
malísimo,lousy
malísimos,lousy
montar,mount
montaron,they rode
monté,mountain
montó,amount
motocicletas,motorcycles
nadaron,they swam
nadaste,you swam
nadé,swim
nadó,I swim
obra de teatro,play
qué hacemos,what do we do
qué tal si,what if
teatro,theater
teatros,theaters
