anuncio,advertisement
archivo,File, Archive
canal,channel
canales,channels
dijeron,they said
dijimos,we said
documento,document
documentos,documents
entiendes,you understand
enviar,send
fábricas,factories
información,information
ingeniera,engineer
ingenieras,engineers
ingeniero,engineer
ingenieros,engineers
internet,Internet
leí,I read
mensajes,posts
máquina,machine
máquinas,machines
noticia,News
noticias,news
preguntaron,they asked
preguntaste,Asked
pregunté,I asked for
preguntó,I ask
que,what
revista,magazine
revistas,journals
semanal,weekly
sitios,sites
trajeron,they brought
trajimos,we brought
tuvieron,they had
tuvimos,we had
verdad,TRUE
