asaba,roasted
asabas,asabas
cafetería,coffee shop
cafeterías,coffee shops
carretera,road
ciencias,sciences
cocinaba,cooked
desayunaba,had breakfast
desayunaban,they had breakfast
desayunábamos,we had breakfast
diario,diary
dibujaba,drew
dibujaban,they drew
dibujabas,you drew
dibujábamos,we were drawing
disfrutaba,enjoyed
disfrutar,to enjoy
disfrutábamos,we enjoyed
entra,enters
entrar,get in
entras,you enter
entró,I enter
limonada,lemonade
manejaba,was driving
manejaban,they drove
manejar,handle
mercado,market
mercados,markets
miraba,looked
miraban,they looked
monas,cute
mono,bow
monos,monkeys
océano,ocean
pescaba,fished
pescaban,they fished
pescar,to fish
rata,rat
ratas,rats
reparaba,repaired
reparaban,repaired
reparar,fix
reparó,repair
rugby,rugby
tambor,drum
tambores,drums
tía,aunt
tías,aunts
tíos,uncles
usaba,used
video,video
videos,videos
