avanzada,advanced
avanzado,advanced
calendario,calendar
calendarios,calendars
claramente,clearly
compañera,partner
compañeras,companions
compañero,companion
compañeros,classmates
consejo,tip
consejos,tips
dar,give
darle,give him
darme,give me
darte,to give you
decirles,tell them
decirme,tell me
decirnos,tell us
detalle,detail
detalles,details
diferencia,difference
diferencias,differences
estuche,case
explica,Explain
explicando,explaining
explicar,explain
explicaron,they explained
explicas,you explain
explicó,explained
expliqué,I explained
les,them
libro de ejercicios,workbook
libros de ejercicios,exercise books
mochila,backpack
mochilas,backpacks
nivel,level
niveles,levels
regla,ruler
reglas,rules
te,tea
