abran,open
abren,open
beban,drink
beben,they drink
brazalete,bracelet
brazaletes,bangles
cheque,check
coman,eat
comen,eat
compran,they buy
compren,buy
cuál quiere,which one do you want
cuál quieres,which one do you want
cuáles quiere,which ones do you want
cómo quiere
                    pagar,how would you like to pay
cómo quieres pagar,how do you want to pay
decidan,decide
deciden,decide
gratis,free
hacen,make
hagan,do
me la llevo,I&#39;ll take it
me las llevo,I&#39;ll take them
me lo llevo,I&#39;ll take it
me los llevo,I will take them
otra,other
otras,others
otro,other
otros,others
perfume,fragrance
perfumes,perfume
pijama,Pijama
pijamas,pajamas
recibo,receipt
recibos,receipts
trabajan,they work
trabajen,work
van,go
vayan,go
vendedoras,saleswomen
vendedores,sellers
