anchas,wide
anchos,widths
andén,platform
cuadra,block
cuadras,blocks
cuero,leather
escaleras,stairs
esquina,corner
ferrocarril,railway
me perdí,i got lost
me subo,I get on
norte,north
nos perdimos,we got lost
nos subimos,we got on
para,for
paramos,we stopped
paras,stop
paro,unemployment
perderme,lose myself
perdernos,get lost
perderse,be lost
perderte,lose you
plástico,plastic
se cree,It is believed
se dice,It is said that
se habla,is spoken
se hacen,are made
se necesitan,are needed
se ofrece,is offered
se ofrecen,are offered
se usa,it&#39;s used
se vende,for Sale
se venden,for sale
subirme,get on
subirnos,get on
subirse,get on
subirte,get on
subiste,you went up
sur,south
te perdiste,you got lost
te subes,you climb
toallas,towels
turismo,sightseeing
