a la venta,for sale
agregar,add
agregué,I added
colección,collection
costo,cost
descuento,discount
devolver,return
escoger,choose
escogerás,you will choose
escojo,I choose
gustarían,would like
lana,wool
me lo quedo,I'll take it
me quedaré con,i will stay with
me quedo con,I prefer
mezclar,Mix
mitad,half
nos quedamos con,we stay with
nos quedaremos con,we will stay with
oferta,offer
pagué,i paid
pc,pc
propina,tip
quedarme con,stay with
quedarse con,stay with
quedarte con,stay with
qué le gustaría para empezar,what would you like to start
qué le traigo,what do I bring you
qué te traigo,what can i bring you
salchicha,hot dog
salchichas,sausages
se queda con,you stay with
se quedaron con,they stayed with
se quedó con,he stayed with
segura,safe
sin embargo,however
suficiente,enough
te quedarás con,you will stay with
te quedas con,you stay with
trozo,piece
trozos,chunks
