abajo,below
arriba,up
cuadrada,square
cuadradas,square
cuadrado,square
de todas maneras,anyway
dirán,they will say
frente,front
gabinete,cabinet
gabinetes,cabinets
habrá,there will be
harán,they will
haré,I will do
importa,matter
importar,to import
importará,will matter
juego,play
lavaplatos,dishwasher
pantalla,screen
podremos,we will can
podrá,may
podrán,will be able
podrás,you can
podré,I will be able
pondrás,You will put
pondré,I will put
poner,place
redonda,round
redondas,round
redondo,round
redondos,round
sabremos,we will know
sabrá,will know
sabrán,will know
sabrás,you will know
sabré,i will know
saldremos,we will go out
saldrá,will come out
salir,go out
tal como,such as
techo,ceiling
tendrán,will have
tendrás,you will have
tendré,I will have
tener,have
trasera,rear
trasero,rear
vendremos,we will come
vendrá,will come
venir,to come
vivo,alive
vivos,alive
