aguacate,avocado
aguacates,avocados
anduve,I walked
anduvieron,they walked
anduvimos,We walked
anduviste,you walked
anduvo,walked
cadena,string
cadenas,chains
clásica,classical
describir,to describe
doblamos,we fold
doblar,Bend
doblas,you fold
estacionar,park
estacionaré,i will park
estacionaste,you parked
perdidos,lost
pudieron,could
pudimos,we could
quise,I wanted
quisieron,they wanted
quisimos,we wanted
quisiste,did you want
quiso,wanted
red,grid
retrasamos,we delay
retrasaste,you delayed
retrasó,delay
sal,Salt
señala,points
señalar,point
sonar,Dream
ten,have
ven
                    acá,come here
vete,go away
