actual,current
actualmente,at the moment
artículo,Article
artículos,articles
causa,cause
causas,Causes
causó,caused
crisis,crisis
curiosa,curious
curioso,curious
daña,hurts
daño,damage
daños,damage
escapen,escape
escapó,escaped
frecuente,frequent
mundial,world
paz,peace
población,population
por el momento,for the moment
publicaron,published
publicó,public
reciente,recent
recientemente,Recently
recientes,recent
según,according to
silenciosa,silent
silenciosamente,silently
silenciosas,silent
silencioso,silent
silenciosos,silent
situaciones,situations
situación,situation
título,title
zona,zone
zonas,zones
