decisiones,decisions
descripciones,descriptions
descripción,description
discutir,argue
distinta,different
distintas,different
distinto,distinct
distintos,different
experiencia,experience
experiencias,experiences
honesto,honest
importancia,importance
imposible,impossible
incorrecto,incorrect
necesaria,necessary
necesarias,necessary
necesario,necessary
necesarios,necessary
o,either
opciones,options
opción,option
opiniones,opinions
opinión,opinion
oportunidad,chance
oportunidades,opportunities
para,for
personal,staff
personales,personal
progreso,progress
ventaja,advantage
ventajas,advantage
única,only
único,unique
