algodón,cotton
apretadas,tight
apretados,tight
caja registradora,cash register
cajero automático,ATM
cajeros automáticos,ATMs
calidad,quality
calidades,qualities
centro comercial,mall
centros comerciales,malls
de,from
de talla única,one size fits all
diseño,design
falta,lack
faltan,missing
fea,ugly
feas,ugly
feo,ugly
feos,ugly
gorro,hat
gorros,caps
importa,matter
importamos,we matter
importan,matter
importar,to import
importo,I import
informal,informal
informales,informal
llevan,They carry
llevar,wear
llevas,you carry
llevo,he took
original,original
originales,original
por,for
ropa interior,underwear
sudadera,hoodie
sudaderas,sweatshirts
tamaño,size
tamaños,sizes
total,total
