agencia,agency
antigua,ancient
antiguas,ancient
antiguo,ancient
antiguos,ancient
conexión,Connection
código postal,Postal Code
códigos postales,zip codes
destino,destiny
dirección,direction
directo,straight
directos,direct
distancia,distance
distancias,distances
dueña,owner
dueñas,owners
dueño,owner
dueños,owners
espectacular,spectacular
espectaculares,spectacular
estaciones,seasons
frontera,border
fronteras,borders
hispanohablante,Spanish-speaking
hispanohablantes,Spanish speakers
itinerario,itinerary
llegada,arrival
llegadas,Arrivals
milla,mile
millas,miles
ruinas,ruins
saber,know
tour,tour
típica,typical
típicos,typical
