a,a
activas,active
activo,active
activos,active
al,to the
al mismo tiempo,at the same time
basura,trash
cepillabas,you brushed
de,from
despertador,alarm clock
divertirme,have fun
divertirte,have fun
ducharse,get a shower
gemela,twin
gemelo,twin
lavarme,wash myself
lavarse,wash up
lavarte,wash yourself
me maquillo,I put on make up
me preocupaba,it worried me
menos que,less than
más que,more than
nos cepillábamos,we brushed
nos divertimos,we had fun
nos levantábamos,we got up
nos relajamos,we relax
ojo,eye
relajarse,relax
rutina,routine
sacarla,take it out
sacas,you take out
se cepillaban,they brushed
se divierte,have fun
se levantaban,they got up
se preocupaba,He cared
se preocupaban,they cared
tanto como,as much as
te diviertes,do you have fun
te maquillas,do you make up
tiempo libre,leisure
