nubes,"films, swarms, clouds"
nube,"cloud, film, swarm"
cielo,"sky, heaven"
tormentas,"frenzy, storms"
tormenta,storm
impermeable,"raincoat, raincoats"
condujo,"(he) drove, drive"
conduje,"drive, (I) drove"
condujiste,(?) did you drive
condujimos,(we) drove
condujeron,"(they) rode, (they) drove"
llovía,it was raining
lloverá,will rain
nevará,"(?) will it snow, (it) will snow"
nevaba,it was snowing
pantalones cortos,shorts
niebla,fog
ruedas,"wheels, tires, (you) roll"
ruidosa,"noisy, loud, much talked-about"
ruidosos,"noisy, much talked-about"
ruidoso,"noisy, loud, much talked-about"
quitarse,"to take off, come, comes"
quitarnos,(to) take off
quitarte,(to) take off
quitarme,"(?) do I need to take off, (to) take off"
inusual,unusual
temperaturas,temperatures
temperatura,"temperature, a temperature"
grado,"grade, degree"
grados,"degrees, forms, grades"
bajo,"under, low, short"
bajas,"short, low"
bajos,"short, low"
baja,"low, short, (she) gets off"
especialmente,especially
cubrir,"(to) cover, (to) take cover, (to) cover oneself"
cubrieron,(they) covered
cubre,"cover!, (you-formal) cover, take cover!"
cubrió,"served, (she) covered"
aire,"air, draft, draught"
quizás,"maybe, perhaps, might"
navegará,sail
navegaré,(I) sail
navegaremos,(we) sail
navegarán,(they) sail
patadas,"kick, jolt, shock"
patada,"kick, jolt, shock"
pesqué,(I) fished
acamparé,(I) will camp
acamparán,(they) will camp
acamparemos,(we) will camp
descansarán,(they) will rest
descansaré,(I) will rest
descansaremos,(we) will rest
se quita,takes off
nos quitamos,we take off
se quitan,(they) take off
me quito,"(I)  take off, (I)  get … out, (I)  remove"
pescado,fish
pescaron,"got, fish, get"
pescamos,"catch, got, fish"
pesca,fishing
pescó,"got, get"
salta,"(he/she/it) jumps, (he/she/it) jumps over, get the shove / chop!"
saltan,"(they/you-plural) jump, (they/you-plural) jump over, (they/you-plural) leap"
salto,"(I) jump, dive, (I) jump over"
