hablar español,speak Spanish
tomar el,take the
trabajar en,work in
tú hablas,you speak (with article)
toma,she takes
trabajamos,we work
ellos hablan,they speak (with article)
tomamos,we take
trabajan,they work
quiero beber,I want to drink
comer una,eat one
leer este,read this
tú bebes,you drink (with article)
ella come,she eats
nosotros leemos,we read (with article)
beben,they drink
nosotros comemos,we eat (with article)
ellos leen,they read (with article)
necesita escribir,need to write
vivir en,live in
tú escribes,you write (with article)
usted vive,you live (with article/honor)
abrimos,we open
ellas escriben,they write (with article)
nosotras vivimos,we live (with article)
abren,they open
necesitamos abrir,we need to open
necesito comprar,I need to buy
quiere aprender,she wants to learn
compramos,we buy
aprendemos,we learn
salimos,we leave
compran,they buy
aprenden,they learn
salen,they leave
salir,to leave
conocer,to know
conoce,she knows
país,country
conozco,I know
visitar,to visit
visita,she visits
parte,part
gente,people
lugar,place
diferentes,different
llamar,to call
llama,he calls
ayudar,to help
ayuda,she helps
alguno,any
usualmente,usually
niñas,girls
ver,to see
veo,I see
tele,tv
enseñar,to teach
amar,to love
Alemania,Germany
cursos,courses
me,me
me ama,she loves me
me ayudas,you help me
me compra,she buys me (she buys for me)
me conoce,she knows me
me enseña,she teaches me
me escucha,she listens to me
me llaman,they call me
me necesita,she needs me
muñeca,doll
nos,we
nos ayudan,they help us
nos compra,she buys us (she buys for us)
nos conocen,they know us
nos escuchan,they listen to us
nos llamas,you call us
nos visita,she visits us
te,you
te amo,I love you
te ayudo,I help you
te compra,she buys you (she buys for you)
te conozco,I know you
te llamamos,we call you
te necesito,I need you
te visitan,they visit you
me quiere, she loves me
idoma,language
felices,happy (pl)
tristes,sad (pl)
nervioso,nervous
sorprendido,surprised
emocionados,excited (pl)
cansados,tired (pl)
ocupado,busy
sucio,dirty
abierta,open (adj)
cerrado,closed
enfermos,sick (pl)
altas,tall (pl)
es grande,is big
guapo,handsome
rubio,blond
moreno,brunette
amarilla,yellow
negro,black
es divertido,it's fun
es muy simpático,Is very nice
inteligentes,smart (pl)
perezoso,lazy
estudioso,studious
persona,person
responsable,responsible
qué tal,what's up
emocionar,to be excited
enfermo,sick
conmigo,with me
contigo,with you
siempre,always
triste,sad
preocupado,worried
por qué,why
aburrido,bored
enojado,angry
también,also
a veces,sometimes
contento,happy (moderately)
disfrutar,to enjoy
dormir,to sleep
papá,dad
mamá,mom
nunca,never
me siento,I feel
te sientes,you feel
se siente,she feels
otra vez,again
un poco,somewhat
bebé,baby
italiano,Italian (m)
su,his/her
hijos,children (sons)
pequeña,small (f)
simpático,nice (m)
alta,tall (f)
bajo,short (m)
mascota,pet
año,year
años,years
nueve,nine
diez,ten

nuestro,our
nuestros,ours
se llaman,their names are
padres,parents
familias,families
hermanos,brothers
simpático,nice
le gusta,she likes
le encanta,she loves
baloncesto,basketball
deportes,sports
nos gusta,we like
nos encanta,we love
conciertos,concerts
escuchar,to listen
piano,piano
tocar,to play (instrument)
guitarra,guitar
películas,movies
mayor,older
menor,younger
toca,she plays (instrument)
marido,husband
carteras,purses
grandes,big (pl)
interesantes,interesting
