canciones,songs
canción,song
canta,"(he) sings, (she) sings"
cantamos,"(we) sing, (we) sang"
cantan,(you) sing
cantar,"singing, (to) sing, sing"
cantas,(?) do you sing
canto,"(I) sing, singing"
carnes,meats
china,"China, chinese"
chino,Chinese
cocina,"kitchen, (he) is cooking, (she) cooks"
cocinamos,"(we) cook, (we) cooked"
cocinan,(they) cook
cocinar,"cook, (to) cook, cooking"
cocinas,"(you) cook, kitchens"
cocino,(I) cook
cómo se dice,(?) how do you say
cómo se escribe,(?) how do you write
edad,age
lengua,language
lenguas,languages
maneja,"(he) is driving, (she) drives"
manejamos,"(we) are driving, (we) drive"
manejan,"sail, (they) drive"
manejar,"(to) drive, driving"
manejas,"(?) do you drive, sail"
manejo,(I) drive
misma,same
mismas,same
mismo,same
mismos,same
nada,"nothing, anything, (he) swims"
nadan,"swim, (they) are swimming"
nadas,(you) swim
nado,(I) swim
no lo sé,"I don't know, I do not know"
palabra,word
palabras,words
respuesta,"answer, response"
respuestas,"answers, answer"
sabe,"know, (?) does he know, (he) knows"
sabe usted,(?) do you know
sabemos,"know, (we) know, (we) know how to"
sabemos dónde,we know where
saben,"(?) do you know, (?) do you know how to, (they) know"
saber,"know, (to) know, hear"
sabes,"(you) know, (?) do you know, (?) do you know how to"
sabes cuándo,(?) do you know when
sabes nadar,(you) know how to swim
sabes quién,(?) do you know who
sé,"(I) know, (I) know how to, (you) be"
sé cuándo,I know when
almuerza,"(he) eats lunch, (she) eats lunch, (you) eat lunch"
almuerzo,"lunch, (I) eat lunch"
cien,"hundred, 100, one hundred"
dan,"give, (they) are giving, (they) give"
dar,"give, (to) give, (to) have"
decimos,"(we) say, (?) do we say, (we) tell"
dice,"(he) says, (she) is saying"
dicen,"say, (?) do they say, (they) say"
dices,"(you) say, (?) can you tell, (?)do you say"
digo,"say, (I) say, tell"
doy,"(I) give, (I) am giving, I'm giving"
hermoso,"beautiful, beautifully, lovely"
inglesas,English
ingleses,English
le,"him, her, his"
le hago,"I'm asking her, I'm asking him, (I) ask her"
les,"they, you, hers"
mandamos,"(we) send, (we) sent"
mandar,"(to) send, send"
mandas,(?) are you sending
mesera,waitress
mesero,waiter
mil,"thousand, 1000, a thousand"
millones,"million, millions"
millón,million
nada es,nothing is
noventa,"ninety, 90"
ochenta,"80, eighty"
oficinas,offices
portuguesa,Portuguese
portuguesas,Portuguese
portugueses,Portuguese
pregunta,"question, (she) asks, questions"
preguntamos,(we) ask
preguntan,"(they) are asking, (they) ask"
preguntar,"ask, (to) ask, (to) wonder"
preguntas,"questions, (you) ask, question"
pregunto,"(I) ask, (I) wonder"
setenta,"70, seventy"
abres la,you open the
acá,here
allá,"there, over there, past"
caja,box
cajas,boxes
cierro la,I close the
coges,"you're taking, (you) take, (?) can you take"
cuartos,"rooms, bedrooms"
césped,"lawn, grass"
demasiada,"too, too much"
demasiadas,"too, too much, too many"
demasiado,"too, too much, a bit too"
demasiados,"too, too much, too many"
eso,"it, that"
granja,farm
levántate,(you) get up
levántese,(you) get up
lávate,"wash, (you) wash, (you) wash up"
lávese,"wash, (you) wash"
mirando,"looking at, watching"
miro,"(I) look at, (I) am watching, (I) watch"
nos ayudas,(?) can you help us
pared,wall
paredes,walls
piso,"floor, ground"
pisos,floors
poca,"little, a few"
pocas,"few, little"
poco,"little, some, little bit"
pocos,few
seguras,"safe, sure"
seguro,"sure, safe"
seguros,"safe, self-confident, self-assured"
sentarse,"sat, (to) sit, (to) sit down"
siéntate,"(you) sit, (you) sit down"
siéntese,(you) sit down
toda,"all, whole, all of"
todo,"everything, all, whole"
traes,"(?) can you bring, (you) bring"
traigo,"(?) should I bring, (I) bring, bringing"
abajo,"down, downstairs, below"
arriba,"upstairs, up"
atrás,"back, ago, at the back"
buscando,"looking for, getting"
carretera,"road, highway"
cercana,"close, near, nearby"
cercano,"close, closed, nearby"
dentro,"in, within, inside"
derecho,"right, straight"
detrás,"behind, after"
direcciones,"directions, addresses"
disculpa,excuse me
disculpe, señor,excuse me sir
enfrente,"in front, opposite, across"
entre,"between, among, (he) enters"
espera,"(she) hopes, (she) is waiting for, (you) wait"
esperando,"waiting, waiting for"
espero,"(I) hope, (I) am waiting for, (I) wait"
final,"final, finals, ultimate"
fuera,"out, were, (she) go"
gira,"(it) turns, (you) turn"
giramos,"(we) turn, (?) do we turn, turned"
girar,"turn, turned, (to) turn"
giras,(you) turn
gire,(you) turn
giro,"(I) turn, (?) do I turn"
perdona,pardon me
perdone,"excuse me, pardon me"
seguir,"(to) follow, (to) continue, (to) go on"
siga,(you) continue
sigue,"(you) continue, (you) follow, (you) go"
tome,"(you) drink, (you) take"
abrieron,"open, (they) opened, (?) did they open"
abrió,"(?) did she open, (it) opened, (she) opened"
aprendieron,"(they) learned, (?) did they learn, (?) did you learn"
aprendió,"learn, (he) learned"
búhos,owls
cerdo,"pork, pig"
cerdos,pigs
cerraron,"(?) did they close, (they) closed, closed"
cerró,"(?) did he shut, (he) closed, (she) shut"
cocinaron,"cook, (you) cooked, (they) cooked"
cocinó,"(?) did he cook, (he) cooked, (she) cooked"
comieron,"(?) did you eat, (they) ate"
comió,"eat, (?) did she eat, (?) did you eat"
escribieron,"write, (?) did they write, (they) wrote"
escribió,"write, (?) did you write, (he) wrote"
estuvieron,"were, (they) were, (you) were"
estuvo,"(he) was, (it) was, (she) was"
fue,"(he) was, (he) went, (it) was"
fueron,"were, (?) did they go, (they) left"
lavaron,"wash, (they) washed"
lavó,"wash, (he) washed"
limpiaron,"(they) cleaned, (?) did they clean, clean"
limpió,"(she) cleaned, clean"
miraron,"(they) looked, (they) watched, (?) did they watch"
miró,"(he) looked, (he) looked at, (he) watched"
salieron,"go, (they) left, (?) did they leave"
salió,"(he) left, (he) went out, (she) left"
vaca,cow
vacas,cows
almorzamos,we have lunch
almorzar,to have lunch
almuerzan,they have lunch
almuerzas,you have lunch
poder,to be able
podemos,we are able
puedo,can I
pueden,they can
probamos,we try
probar,to try
prueba,he/she/it tries
prueban,they try
pruebo,I try
bolsa,bag
bolsas,bags
centavos,cents
chorizo,"chorizo, chorizos"
chorizos,"chorizo, chorizos"
cincuenta,"fifty, 50"
compra,"(?) are you buying, (?) does she buy, (?) is he buying"
cuarenta,"forty, 40"
cuánta,"how many, how much"
fruta,fruit
frutas,"fruit, fruits"
huevo,"egg, eggs, ball"
kilo,"kilo, kilogram"
lavamos,"(we) washed, (we) are washing, (we) wash"
lavan,"(they) wash, (they) are washing"
lavar,(to) wash
lavas,"(you) wash, (?) are you washing, (?) do you wash"
lleva,"(it) takes, (she) carries, (she) is carrying"
llevamos,"(we) took, (we) are carrying"
llevan,"(they) are carrying, (they) wear"
llevar,"take, (to) take, (to) bring"
llevas,"(?) can you carry, (?) do you carry, (you) are carrying"
llevo,"(I) wear, (I) take, (I) am carrying"
mantequilla,butter
naranja,orange
papa,potato
picante,"hot, spicy"
picantes,spicy
plátano,banana
plátanos,bananas
pone,"(?) do you put, (he) is putting, (he) puts"
ponemos,"(?) do we put, (we) are putting, start"
ponen,"(they) are putting, start"
poner,"put, (to) put, (to) set"
pones,"(you) put, (?) do you put, start"
pongo,"(I) put, (?) do I put, (I) am putting"
refrigerador,"fridge, refrigerator, refrigerators"
refrigeradores,refrigerators
sesenta,"60, sixty"
tenemos que,"(we) have to, (?) do we need to"
tienen que,"(?) do you need to go, (they) have to, has to"
tomate,tomato
vegetal,"vegetable, plant"
vegetales,vegetables
ayudamos,"(we) help, (we) helped"
ayudaste,(you) helped
bailaron,(they) danced
bailaste,"dance, (you) danced, (?) did you dance"
bailé,(I) danced
bailó,(she) danced
cambiaron,(they) changed
comencé,"(I) started, (I) began"
comenzaron,(they) started
comenzó,"(?) did it begin, (he) started, (it) started"
comprender,"(to) understand, understand"
comprendieron,"(?) did you understand, understand, (you) understood"
