canciones,songs
canción,song
canta,"(he) sings, (she) sings"
cantamos,"(we) sing, (we) sang"
cantan,(you) sing
cantar,"singing, (to) sing, sing"
cantas,(?) do you sing
canto,"(I) sing, singing"
carnes,meats
china,"China, chinese"
chino,Chinese
cocina,"kitchen, (he) is cooking, (she) cooks"
cocinamos,"(we) cook, (we) cooked"
cocinan,(they) cook
cocinar,"cook, (to) cook, cooking"
cocinas,"(you) cook, kitchens"
cocino,(I) cook
cómo se dice,(?) how do you say
cómo se escribe,(?) how do you write
edad,age
lengua,language
lenguas,languages
maneja,"(he) is driving, (she) drives"
manejamos,"(we) are driving, (we) drive"
manejan,"sail, (they) drive"
manejar,"(to) drive, driving"
manejas,"(?) do you drive, sail"
manejo,(I) drive
misma,same
mismas,same
mismo,same
mismos,same
nada,"nothing, anything, (he) swims"
nadan,"swim, (they) are swimming"
nadas,(you) swim
nado,(I) swim
no lo sé,"I don't know, I do not know"
palabra,word
palabras,words
respuesta,"answer, response"
respuestas,"answers, answer"
sabe,"know, (?) does he know, (he) knows"
sabe usted,(?) do you know
sabemos,"know, (we) know, (we) know how to"
sabemos dónde,we know where
saben,"(?) do you know, (?) do you know how to, (they) know"
saber,"know, (to) know, hear"
sabes,"(you) know, (?) do you know, (?) do you know how to"
sabes cuándo,(?) do you know when
sabes nadar,(you) know how to swim
sabes quién,(?) do you know who
sé,"(I) know, (I) know how to, (you) be"
sé cuándo,I know when
