almuerza,"(he) eats lunch, (she) eats lunch, (you) eat lunch"
almuerzo,"lunch, (I) eat lunch"
cien,"hundred, 100, one hundred"
dan,"give, (they) are giving, (they) give"
dar,"give, (to) give, (to) have"
decimos,"(we) say, (?) do we say, (we) tell"
dice,"(he) says, (she) is saying"
dicen,"say, (?) do they say, (they) say"
dices,"(you) say, (?) can you tell, (?)do you say"
digo,"say, (I) say, tell"
doy,"(I) give, (I) am giving, I'm giving"
hermoso,"beautiful, beautifully, lovely"
inglesas,English
ingleses,English
le,"him, her, his"
le hago,"I'm asking her, I'm asking him, (I) ask her"
les,"they, you, hers"
mandamos,"(we) send, (we) sent"
mandar,"(to) send, send"
mandas,(?) are you sending
mesera,waitress
mesero,waiter
mil,"thousand, 1000, a thousand"
millones,"million, millions"
millón,million
nada,"nothing, anything, (he) swims"
nada es,nothing is
noventa,"ninety, 90"
ochenta,"80, eighty"
oficinas,offices
portuguesa,Portuguese
portuguesas,Portuguese
portugueses,Portuguese
pregunta,"question, (she) asks, questions"
preguntamos,(we) ask
preguntan,"(they) are asking, (they) ask"
preguntar,"ask, (to) ask, (to) wonder"
preguntas,"questions, (you) ask, question"
pregunto,"(I) ask, (I) wonder"
setenta,"70, seventy"
