abrieron,"open, (they) opened, (?) did they open"
abrió,"(?) did she open, (it) opened, (she) opened"
aprendieron,"(they) learned, (?) did they learn, (?) did you learn"
aprendió,"learn, (he) learned"
búhos,owls
cerdo,"pork, pig"
cerdos,pigs
cerraron,"(?) did they close, (they) closed, closed"
cerró,"(?) did he shut, (he) closed, (she) shut"
cocinaron,"cook, (you) cooked, (they) cooked"
cocinó,"(?) did he cook, (he) cooked, (she) cooked"
comieron,"(?) did you eat, (they) ate"
comió,"eat, (?) did she eat, (?) did you eat"
escribieron,"write, (?) did they write, (they) wrote"
escribió,"write, (?) did you write, (he) wrote"
estuvieron,"were, (they) were, (you) were"
estuvo,"(he) was, (it) was, (she) was"
fue,"(he) was, (he) went, (it) was"
fueron,"were, (?) did they go, (they) left"
lavaron,"wash, (they) washed"
lavó,"wash, (he) washed"
limpiaron,"(they) cleaned, (?) did they clean, clean"
limpió,"(she) cleaned, clean"
miraron,"(they) looked, (they) watched, (?) did they watch"
miró,"(he) looked, (he) looked at, (he) watched"
salieron,"go, (they) left, (?) did they leave"
salió,"(he) left, (he) went out, (she) left"
vaca,cow
vacas,cows
