bolsa,bag
bolsas,bags
centavos,cents
chorizo,"chorizo, chorizos"
chorizos,"chorizo, chorizos"
cincuenta,"fifty, 50"
compra,"(?) are you buying, (?) does she buy, (?) is he buying"
cuarenta,"forty, 40"
cuánta,"how many, how much"
fruta,fruit
frutas,"fruit, fruits"
huevo,"egg, eggs, ball"
kilo,"kilo, kilogram"
lavamos,"(we) washed, (we) are washing, (we) wash"
lavan,"(they) wash, (they) are washing"
lavar,(to) wash
lavas,"(you) wash, (?) are you washing, (?) do you wash"
lleva,"(it) takes, (she) carries, (she) is carrying"
llevamos,"(we) took, (we) are carrying"
llevan,"(they) are carrying, (they) wear"
llevar,"take, (to) take, (to) bring"
llevas,"(?) can you carry, (?) do you carry, (you) are carrying"
llevo,"(I) wear, (I) take, (I) am carrying"
mantequilla,butter
naranja,orange
papa,potato
picante,"hot, spicy"
picantes,spicy
plátano,banana
plátanos,bananas
pone,"(?) do you put, (he) is putting, (he) puts"
ponemos,"(?) do we put, (we) are putting, start"
ponen,"(they) are putting, start"
poner,"put, (to) put, (to) set"
pones,"(you) put, (?) do you put, start"
pongo,"(I) put, (?) do I put, (I) am putting"
refrigerador,"fridge, refrigerator, refrigerators"
refrigeradores,refrigerators
sesenta,"60, sixty"
tenemos que,"(we) have to, (?) do we need to"
tienen que,"(?) do you need to go, (they) have to, has to"
tomate,tomato
vegetal,"vegetable, plant"
vegetales,vegetables
