ambas,both
ambos,both
bailes,"dances, dancing"
bananas,bananas
bota,boot
botas,boots
calientes,"hot, warm"
chilena,Chilean
chileno,Chilean
chilenos,Chilean
color,"colorful, color, coloring"
colores,"colors, color"
cubanas,Cuban
cubano,Cuban
cubanos,"Cubans, Cuban"
dulce,"sweet, candy"
dulces,"sweets, candy, candies"
encantan,"(I) love, (we) love"
ensaladas,salads
flor,flower
flores,"flowers, Flores, flower"
francesa,French
franceses,French
gustan,"(?) do they like, (I) like, (we) like"
interesan,"interest, (we) are interested"
italianas,Italian
italiano,Italian
juego,"game, (I) play, games"
juegos,"games, game"
latina,Latin
latinas,Latin
latinos,Latin
lentes,glasses
naranja,orange
naranjas,"oranges, orange"
ojo,eye
ojos,eyes
par,"pair, couple"
pares,pairs
pájaro,bird
pájaros,birds
rápida,"fast, quick"
rápidas,"quick, fast"
rápido,"fast, quickly, quick"
rápidos,"quick, fast"
sitio,"site, place, stand"
sitios,"places, sites"
vaqueros,jeans
vinos,wines
