calurosa,"hot, warm"
caluroso,"hot, warm"
calurosos,"hot, warm"
caminó,"(she) walked, walk, (?) did you walk"
clima,weather
comenzamos,"(we) started, (?) do we start, (we) begin"
comenzar,"start, starting, (to) begin"
comienza,"(?) does it start, (she) begins, (she) starts"
comienzas,"(you) begin, (?) do you start, start"
corrió,"(she) ran, run, (you) ran"
dormimos,"(we) sleep, (we) slept"
duermen,"(?) do you sleep, (they) sleep"
duermes,"sleep, (you) sleep, (?) do you sleep"
duermo,"sleep, (I) sleep, (I) fall asleep"
encantar,"(to) love, love"
encontrarnos,(to) meet up
encontrarse,(to) meet up
frío,"cold, cold weather"
fue un,was a
fueron unos,they were about
haber,"(to) have, (to) be, be"
llover,"(to) rain, raining"
lloviendo,raining
llovió,"(it) rained, rain"
lluvia,rain
me encuentro,(I) meet up
montaste,"(?) did you ride, start, ride"
nevando,snowing
nevar,"(to) snow, snowing, snow"
nevó,"(it) snowed, snow"
nos encontramos,"(we) are meeting up, meeting, (?) are we meeting up"
primera,first
primeras,"first (plural), first gear (plural), first class (plural)"
primero,"first, 1, 1st"
primeros,first
se encuentra,he's meeting up
se encuentran,(they) meet up
te encuentras,(?) are you meeting up
todo,"everything, all, whole"
árbol,tree
árboles,trees
