cambiamos,we change
cambiando,changing
cambiar,to change
decir,to say
empieza,he/she/it starts
empiezas,you start
empezamos,we start
empiezan,they start
empezar,to start
fecha,date
fechas,"dates, (you) date"
gustar,"like, (to) like"
gustaría,"like, (?) would you like"
invitan,"ask, (they) are inviting, (they) invite"
invitar,"(to) invite, (to) ask, invite"
invitas,"ask, (you) are inviting, (you) ask"
invito,"(I) ask, (I) invite, (I) am inviting"
luego,"then, later, after"
me quedo,"(I)  stay, I'm staying"
nos quedamos,"(we)  stay, (we) are staying, (we) stayed"
pensamos,"(we) think, (we) thought, (we) are thinking"
pensando,thinking
pensar,"(to) think, think"
piensa,"(he) thinks, (you) think, think"
pienso,"(I) think, (I) am thinking, plan"
plan,"plan, planned"
planes,"planes, airplanes"
por supuesto,"of course, sure"
primero,"first, 1, 1st"
puedes,"(you) can, (?) can you, (?) could you"
que viene,next
quedarse,"stay, (to) stay, staying"
se queda,"remains, (he/she/it)  is, (he/she/it)  stays"
se quedan,"(they/you-plural)  keep, (they/you-plural)  stay, (they/you-plural)  are"
sobre,"about, on, on top of"
te quedas,"(?) are you staying, (you) stay"
todo el mundo,"everybody, everyone"
vengo,"(I) come, I'm coming"
venimos,"(we) come, (we) arrive, (we) are coming"
venir,"come, (to) come, coming"
viene,"(?) does she come, (he) comes, (she) is coming"
vienen,"come, (?) do they come, (they) are coming"
vienes,"(you) come, (?) are you coming, (?) do you come"
vuelvo,I go back
volvemos,we go back
volver,to go back
vuelves,you go back
cerramos,we are closing
cierran,they close
