abriendo,opening
aprendiendo,learning
aula,classroom
bebiendo,"drinking, he's having"
comiendo,"eating, having, taking"
dibujando,drawing
escribiendo,writing
escuchando,"listening, listening to, hearing"
escuelas,schools
estudiando,studying
hablando,"talking, speaking"
hablar con,talk to
haciendo,"doing, making, asking"
lección,lesson
leyendo,reading
nota,"note, grade"
notas,grades
pizarra,"board, blackboard, chalkboard"
pizarras,"blackboards, boards, chalkboards"
que escribir,what to write
que estudiar,what to study
que hacer,to do
que leer,what to read
queremos abrir,we want to open
quiere dibujar,wants to draw
quieren beber,they want to drink
quiero aprender,I want to learn
saliendo,"going out, leaving, seeing"
