abro,"(?) should I open, (I) open, I'm opening"
bebemos,(we) drink
bici,bike
cafés,"brown, cafés, coffees"
cierro,"close, (I) close, (?) should I close"
gatos,cats
imagen,"image, picture"
imágenes,"images, pictures"
la,"the, her, his"
la quiero,(I) want it
las,"the, his, my"
las comen,(they) eat them
las necesita,needs them
ligeras,light
lo,"it, you, him"
lo compro,I'm buying it
lo quiero,(I) want it
los,"the, them, her"
los comen,they eat them
los necesita,"(she) needs them, (he) needs them"
mala,"bad, wrong"
malo,"bad, wrong"
malos,bad
paquete,package
paquetes,packages
pruebas,"(you) taste, tests, (?) are you trying"
salsa,"sauce, salsa"
todas,"all, every, everybody"
todo el tiempo,all the time
todos,"all, all of, every"
tés,teas
ya,"already, now, anymore"
