alguno,"one, any, some (people)"
algún,"any, one, some"
ay,"ouch, oh"
buen,"good, nice"
ciento,"a hundred, one hundred, percent"
completamente,completely
compré,"(I) bought, (I) got, buy"
compró,"(?) did she buy, (he) bought, (she) bought"
con nadie,with nobody
doscientos,"200, two hundred"
elegir,"(to) choose, (to) pick, choose"
gran,"great, big, large"
mal,"bad, wrong, badly"
mi nuevo,my new
nadie,"nobody, no one, anybody"
ninguna,"any, no, neither"
ninguno,"none, any, neither"
ninguno de,none
ningunos,"none, no one, neither"
ningún,"no, any"
olvidar,"(to) forget, forget, forgot"
olvido,"(I) forget, forget"
pagamos,"(we) pay, (we) are paying for, (we) paid"
pagó,"(she) paid for, pay, (?) did you pay"
pobre,poor
pobres,poor
primer,first
segundo,"second, 2"
tercer,third
última,"last, latest, final"
últimas,"last, lasts, last ones"
último,"last, latest, final"
últimos,"last, final"
