aprendiendo a,learning to
ayudo a,helped
cenar,"dinner, (to) eat dinner, (to) have dinner"
desayunar,"(to) eat breakfast, (to) have breakfast"
empezamos a,we started to
encontrar,(to) find
enseña a,teach to
entrada,"entrance, ticket, gate"
entradas,"entrances, gates, tickets"
esperar,"(to) wait, (to) hope, wait"
lavarnos,"wash, (to) wash"
levantarme,"(to) get up, getting up"
levantarte,(you) get up
papel,"paper, role"
papeles,papers
pie,pie
pies,feet
ponerme,"put, (to) put on, (to) wear"
ponerte,"put, (to) put on, putting on"
probarse,(to) try on
probarte,(to) try on
quedarme,(to) stay
quedarnos,"stay, (to) stay, staying"
recordar,"remember, (to) remember, remembering"
salir a,go to
taza,"cup, mug, bowl"
tazas,"cups, mugs, bowls"
volar,"(to) fly, fly, flying"
