abrirla,open it
abrirlo,open it
abrirlos,open them
beberla,drink it
beberlas,drink them
beberlo,drink it
beberlos,drink them
cebolla,onion
cebollas,onions
champiñones,mushrooms
comerla,eat it
comerlas,eat them
comerlo,eat it
comerlos,eat them
comprar,purchase
comprarlas,buy them
comprarlo,buy
comprarlos,buy them
en oferta,in offer
gastar,to spend
jamones,hams
jamón,ham
kilogramo,kilogram
lata,can
lavarlas,wash them
lavarlo,wash it
lavarlos,wash them
limón,lemon
lista,list
listas,ready
litro,liter
necesitar,need
necesitarla,need her
necesitarlas,need them
necesitarlo,need it
necesitarlos,need them
pedirla,ask for it
pedirlas,ask for them
pedirlo,asking for it
pera,pear
peras,pears
pimienta,Pepper
prepararla,prepare it
prepararlo,set it up
prepararlos,prepare them
variedad,variety
variedades,varieties
y
                    medio,and a half
yogur,yogurt
yogures,yogurts
