colinas,hills
conocida,known
conocido,acquaintance
conocidos,acquaintances
de acuerdo,ok
decidir,to decide
decidiste,you decided
decidió,He decided
decidí,I decided
miles,Thousands
ocurrieron,occurred
ocurrir,to occure
ocurrió,It occurred
por fin,finally
preparamos,we prepare
preparar,set up
prepararon,prepared
preparaste,you prepared
preparé,I prepared
preparó,prepared
principio,principle
principios,beginning
pude,could
pudiste,you could
pudo,could
puse,I put
pusiste,you put
puso,put
razones,reasons
razón,reason
siglo,century
supe,I knew
supiste,did you know
supo,he knew
veces,times
vez,time
área,area
áreas,areas
