ayudamos,we help
ayudaste,you helped
bailaron,they danced
bailaste,you danced
bailé,dance
bailó,I danced
cambiaron,they changed
comencé,I started
comenzaron,started
comenzó,started
comprender,grasp
comprendieron,they understood
comprendimos,we understood
comprendiste,did you understand
comprendió,understood
esperamos,we wait
esperaste,did you wait
invitó,invited
llegaron,they arrived
llegué,I arrived
llegó,I arrive
mandamos,we sent
mandaste,did you send
mandé,What
mandó,command
miraste,you looked
morir,To die
nosotros fuimos,we went
novecientos,nine hundred
ochocientos,eight hundred
pensaron,they thought
pensaste,Thought
pensé,I thought
pensó,thought
pintaron,they painted
pintaste,you painted
pinté,I painted
practicaron,they practiced
practicaste,you practiced
practicó,practical
practiqué,I practiced
recordamos,we remember
recuerda,remember
recuerdo,memory
setecientos,seven hundred
tú fuiste,you went
usaron,they used
usaste,you used
usé,i used
vivieron,they lived
vivió,lived
yo fui,I went
