agradables,nice
asientos,seating
bienvenida,welcome
bienvenido,Welcome
capital,capital
capitales,capitals
catedral,Cathedral
coche,car
coches,cars
confortable,comfortable
confortables,comfortable
en todas partes,everywhere
equipaje,Baggage
estadio,stadium
estadios,stadiums
helicóptero,helicopter
idea,idea
ideas,ideas
identificación,ID
internacional,international
internacionales,international
isla,island
islas,islands
planea,plan
planeamos,we plan
planean,plan
planear,to plan
planeas,you plan
planeo,glide
regresamos,we came back
regresan,return
regresaron,they returned
regresaste,You come back
regreso,he came back
reserva,booking
reservamos,we reserve
reservan,reserve
reservar,Reserve
reservaron,reserved
reservas,Bookings
reservaste,you booked
reservo,reserve
reservó,booked
servicios,services
tranvía,trolley car
turista,tourist
vuelos,flights
ópera,Opera
