acaba de,just
acabamos de,we just
acaban de,just finished
acabas de,you just
acabo de,just
boles,bowls
cancelar,Cancel
estante,shelf
estantes,shelves
fregadero,sink
garaje,garage
gritando,Screaming
hablar de,talk about
joyas,jewels
lavamanos,handwash
melones,melons
melón,cantaloupe
pararme,stop
pararnos,stop
pararse,stop
pararte,stop
recién,newly
rosadas,pink
secar,dry off
secaste,you dried up
seco,dried
secó,dried
sequé,I know that
techo,ceiling
techos,roofs
termina,ends
terminar,end up
terminaron,finished
terminaste,You finished
termino,term
terminé,I finished
terminó,term
tortillas,tortillas
vender,sell
vendieron,sold
ventilador,fan
vestida,clothed
vestidas,clothed
vestido,dress
vestir,wear
vestir+prpers,dress+prpers
vestirme,get dressed
vestirnos,get dressed
vestirte,get dressed
