agradecer,to thank
agradezco,I appreciate
aviso,warning
bébela,drink it
bébelo,drink it
bébelos,drink them
conduzco,I drive
corredor,runner
crema,cream
dame,give to me
desea,want
desean,wish
deseas,you want
deseo,wish
deseos,wishes
dime,tell me
dámela,give it to me
dámelas,give them to me
dámelo,give it to me
dámelos,give them to me
dímelo,tell me
guardar,save
guardas,you keep
guardaste,you saved
guardo,I keep
guardó,saved
hacia,towards
llené,I filled
límpiala,clean it up
límpialas,clean them
límpialo,clean it up
límpialos,clean them
me puede decir,can you tell me
me puedes decir,can you tell me
ofrecer,to offer
ofrecieron,offered
ofrezco,I offer
pedir prestado,borrow
pásamela,pass it to me
pásamelas,pass them to me
pásamelo,pass it to me
pásamelos,pass them to me
tocaba,touched
tocaste,you touched
toqué,touch
tráemela,bring it to me
tráemelas,bring them to me
tráemelo,bring it to me
tráemelos,bring them to me
uva,grape
uvas,grapes
visita,visit
